City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
143,banjar,56,ID,1521997019,97,-7.37,108.54,71.53,1.81
144,coihaique,75,CL,1521993600,66,-45.58,-72.07,51.8,8.05
145,saint george,90,GR,1521994800,82,39.45,22.34,55.4,17.22
146,nanakuli,1,US,1521993420,93,21.39,-158.15,66.2,4.7
147,longyearbyen,40,NO,1521993000,60,78.22,15.63,8.6,9.17
148,kavieng,56,PG,1521996857,100,-2.57,150.8,82.65,5.28
149,ormara,0,PK,1521997020,91,25.21,64.64,74.86,9.26
150,faya,0,SA,1521993600,9,18.39,42.45,71.6,5.82
151,ouidah,40,BJ,1521993600,74,6.37,2.09,86.0,10.29
152,moranbah,76,AU,1521997021,95,-22.0,148.04,70.36,6.51
153,pretoria,32,ZA,1521993600,77,-25.75,28.19,68.0,2.24
154,beringovskiy,92,RU,1521996849,96,63.05,179.32,13.75,23.35
155,port lincoln,8,AU,1521996818,94,-34.72,135.86,60.01,15.12
156,pacific grove,20,US,1521995700,81,36.62,-121.92,50.0,6.8
157,aquiraz,40,BR,1521993600,59,-3.9,-38.39,89.6,11.41
158,polyarnyy,75,RU,1521995400,79,69.2,33.45,19.4,8.95
159,graaff-reinet,0,ZA,1521997022,37,-32.25,24.53,61.18,5.91
160,shawnee,90,US,1521995700,76,35.33,-96.93,57.2,13.87
161,yulara,0,AU,1521993600,35,-25.24,130.99,73.4,8.05
162,caruray,8,PH,1521997022,100,10.31,119.01,80.71,10.54
163,bambanglipuro,44,ID,1521997023,99,-7.95,110.28,68.79,2.55
164,isangel,92,VU,1521996808,100,-19.55,169.27,76.39,12.95
165,alofi,92,NU,1521993600,100,-19.06,-169.92,73.4,2.24
166,shagamu,8,NG,1521997023,83,6.84,3.65,83.64,8.08
167,saint-philippe,1,CA,1521994920,59,45.36,-73.48,35.6,12.75
168,zalesovo,92,RU,1521997023,97,54.0,84.74,27.97,5.57
169,beloha,0,MG,1521996904,73,-25.17,45.06,78.01,5.73
170,sept-iles,40,CA,1521993600,23,50.2,-66.38,26.6,6.93
171,tazovskiy,64,RU,1521996822,64,67.47,78.7,-14.15,7.92
172,dikson,64,RU,1521996799,100,73.51,80.55,-7.13,0.31
173,bambous virieux,40,MU,1521993600,78,-20.34,57.76,80.6,8.05
174,auki,0,NG,1521997024,24,12.18,6.51,85.8,4.27
175,zagora,90,HR,1521995400,64,46.19,15.87,44.6,2.24
176,zhanakorgan,100,KZ,1521997024,68,43.91,67.25,62.8,11.95
177,carutapera,92,BR,1521996785,83,-1.2,-46.02,83.64,5.57
178,general roca,0,AR,1521993600,24,-39.03,-67.58,68.0,3.36
179,gizo,0,IL,1521994800,59,31.8,34.94,66.2,10.29
180,ancud,88,CL,1521996793,73,-41.87,-73.83,57.31,3.6
181,cidreira,88,BR,1521996871,89,-30.17,-50.22,72.3,20.15
182,kamenka,12,RU,1521997025,86,53.19,44.05,23.47,13.18
183,victoria,75,BN,1521993600,94,5.28,115.24,80.6,2.1
184,klaksvik,88,FO,1521994800,75,62.23,-6.59,41.0,13.87
185,sisimiut,64,GL,1521997026,82,66.94,-53.67,-5.42,2.48
186,samarai,68,PG,1521996823,100,-10.62,150.67,82.78,10.76
187,mehamn,75,NO,1521993000,73,71.03,27.85,24.8,27.51
188,buala,92,SB,1521997026,100,-8.15,159.59,74.77,7.4
189,esperance,75,TT,1521993600,61,10.24,-61.45,82.4,17.22
190,khao wong,0,TH,1521997027,70,16.69,104.09,71.17,6.02
191,rivera,20,UY,1521997027,76,-30.9,-55.54,65.68,17.43
192,lumsden,75,CA,1521993600,74,50.65,-104.86,30.2,11.41
193,turangi,8,NZ,1521997028,100,-39.0,175.93,41.29,1.36
194,sycamore,1,US,1521995700,35,41.99,-88.69,39.2,14.99
195,vardo,90,US,1521995700,74,39.62,-77.74,37.4,10.29
196,torbay,90,CA,1521994260,86,47.66,-52.73,28.4,27.51
197,atkinson,1,US,1521995700,55,41.42,-90.02,35.6,13.87
198,sao filipe,0,CV,1521996860,91,14.9,-24.5,72.07,20.22
199,huangmei,36,CN,1521996904,97,30.1,115.95,53.08,1.99
200,grindavik,75,IS,1521995400,100,63.84,-22.43,39.2,18.34
201,caravelas,36,BR,1521996823,100,-17.73,-39.27,81.97,14.45
202,hammerfest,90,NO,1521994800,92,70.66,23.68,23.0,9.17
203,nsanje,12,MZ,1521997029,94,-16.92,35.26,75.04,3.78
204,hilo,1,US,1521993180,93,19.71,-155.08,66.2,10.09
205,husavik,92,CA,1521996860,96,50.56,-96.99,32.7,22.12
206,cayenne,90,GF,1521995400,88,4.94,-52.33,80.6,11.41
207,lerwick,76,GB,1521994800,81,60.15,-1.15,42.8,12.75
208,duminichi,20,RU,1521997030,90,53.93,35.11,31.84,15.08
209,abong mbang,12,CM,1521997030,88,3.98,13.18,74.55,1.81
